competencia,ano,mes,departamento,categoria,valor,variacao_pct,is_outlier
2023-06,2023,6,Administrativo,Aluguel,66358.08,0.0,False
2023-06,2023,6,Administrativo,TI,76501.04,0.0,False
2023-06,2023,6,Administrativo,Jurídico,49752.46,0.0,False
2023-06,2023,6,Financeiro,IOF/Taxas,44435.95,0.0,False
2023-06,2023,6,Financeiro,Seguros,72689.78,0.0,False
2023-06,2023,6,Financeiro,Auditoria,86540.75,0.0,False
2023-06,2023,6,Financeiro,Câmbio,56428.59,0.0,False
2023-07,2023,7,Comercial,Comissões,38628.83,0.0,False
2023-07,2023,7,Comercial,Marketing,51359.94,0.0,False
2023-07,2023,7,Comercial,Eventos,21455.39,0.0,False
2023-07,2023,7,Comercial,CRM,20286.99,0.0,False
2023-07,2023,7,Operações,Logística,40023.11,0.0,False
2023-07,2023,7,Operações,Manutenção,38589.35,0.0,False
2023-07,2023,7,Operações,EPI,17390.28,0.0,False
2023-07,2023,7,Operações,Combustível,77036.43,0.0,False
2023-07,2023,7,Administrativo,Pessoal,27233.47,0.0,False
2023-07,2023,7,Administrativo,Aluguel,24828.8,0.0,False
2023-07,2023,7,Administrativo,TI,84254.71,0.0,False
2023-07,2023,7,Administrativo,Jurídico,71053.63,0.0,False
2023-07,2023,7,Financeiro,IOF/Taxas,65071.07,0.0,False
2023-07,2023,7,Financeiro,Seguros,43828.58,0.0,False
2023-07,2023,7,Financeiro,Auditoria,17110.05,0.0,False
2023-07,2023,7,Financeiro,Câmbio,53552.51,0.0,False
2023-08,2023,8,Comercial,Comissões,25783.95,0.0,False
2023-08,2023,8,Comercial,Marketing,79293.65,0.0,False
2023-08,2023,8,Comercial,Eventos,69539.53,0.0,False
2023-08,2023,8,Comercial,CRM,24203.73,0.0,False
2023-08,2023,8,Operações,Logística,40517.23,0.0,False
2023-08,2023,8,Operações,Manutenção,64096.46,0.0,False
2023-08,2023,8,Operações,EPI,45506.25,0.0,False
2023-08,2023,8,Operações,Combustível,26760.23,0.0,False
2023-08,2023,8,Administrativo,Pessoal,17902.19,0.0,False
2023-08,2023,8,Administrativo,Aluguel,33983.86,0.0,False
2023-08,2023,8,Administrativo,TI,53118.94,0.0,False
2023-08,2023,8,Administrativo,Jurídico,20467.5,0.0,False
2023-08,2023,8,Financeiro,IOF/Taxas,69833.25,0.0,False
2023-08,2023,8,Financeiro,Seguros,57194.69,0.0,False
2023-08,2023,8,Financeiro,Auditoria,164695.53,154.99,True
2023-08,2023,8,Financeiro,Câmbio,50069.28,0.0,False
2023-09,2023,9,Comercial,Comissões,63600.93,0.0,False
2023-09,2023,9,Comercial,Marketing,59114.32,0.0,False
2023-09,2023,9,Comercial,Eventos,43508.42,0.0,False
2023-09,2023,9,Comercial,CRM,48378.38,0.0,False
2023-09,2023,9,Operações,Logística,33795.95,0.0,False
2023-09,2023,9,Operações,Manutenção,45082.96,0.0,False
2023-09,2023,9,Operações,EPI,37224.38,0.0,False
2023-09,2023,9,Operações,Combustível,50963.73,0.0,False
2023-09,2023,9,Administrativo,Pessoal,33693.31,0.0,False
2023-09,2023,9,Administrativo,Aluguel,15118.29,0.0,False
2023-09,2023,9,Administrativo,TI,40161.46,0.0,False
2023-09,2023,9,Administrativo,Jurídico,118555.3,141.7,True
2023-09,2023,9,Financeiro,IOF/Taxas,55234.43,0.0,False
2023-09,2023,9,Financeiro,Seguros,71723.82,0.0,False
2023-09,2023,9,Financeiro,Auditoria,41894.47,0.0,False
2023-09,2023,9,Financeiro,Câmbio,67081.84,0.0,False
2023-10,2023,10,Comercial,Comissões,65509.53,0.0,False
2023-10,2023,10,Comercial,Marketing,60219.86,0.0,False
2023-10,2023,10,Comercial,Eventos,52846.47,0.0,False
2023-10,2023,10,Comercial,CRM,43008.37,0.0,False
2023-10,2023,10,Operações,Logística,65871.86,0.0,False
2023-10,2023,10,Operações,Manutenção,28475.58,0.0,False
2023-10,2023,10,Operações,EPI,53810.47,0.0,False
2023-10,2023,10,Operações,Combustível,61603.68,216.6,True
2023-10,2023,10,Administrativo,Pessoal,39529.61,0.0,False
2023-10,2023,10,Administrativo,Aluguel,38172.97,0.0,False
2023-10,2023,10,Administrativo,TI,35243.23,0.0,False
2023-10,2023,10,Administrativo,Jurídico,17315.24,0.0,False
2023-10,2023,10,Financeiro,IOF/Taxas,56667.71,0.0,False
2023-10,2023,10,Financeiro,Seguros,147897.31,155.91,True
2023-10,2023,10,Financeiro,Auditoria,15333.41,0.0,False
2023-10,2023,10,Financeiro,Câmbio,49713.16,0.0,False
2023-11,2023,11,Comercial,Comissões,53539.31,0.0,False
2023-11,2023,11,Comercial,Marketing,51711.7,0.0,False
2023-11,2023,11,Comercial,Eventos,14909.77,0.0,False
2023-11,2023,11,Comercial,CRM,45447.15,0.0,False
2023-11,2023,11,Operações,Logística,12539.86,0.0,False
2023-11,2023,11,Operações,Manutenção,125936.9,160.2,True
2023-11,2023,11,Operações,EPI,60037.34,0.0,False
2023-11,2023,11,Operações,Combustível,24967.19,0.0,False
2023-11,2023,11,Administrativo,Pessoal,30850.07,0.0,False
2023-11,2023,11,Administrativo,Aluguel,28233.7,0.0,False
2023-11,2023,11,Administrativo,TI,33456.91,0.0,False
2023-11,2023,11,Administrativo,Jurídico,59553.52,0.0,False
2023-11,2023,11,Financeiro,IOF/Taxas,16820.46,0.0,False
2023-11,2023,11,Financeiro,Seguros,50550.17,0.0,False
2023-11,2023,11,Financeiro,Auditoria,65533.02,0.0,False
2023-11,2023,11,Financeiro,Câmbio,34043.31,0.0,False
2023-12,2023,12,Comercial,Comissões,44202.71,0.0,False
2023-12,2023,12,Comercial,Marketing,51116.39,0.0,False
2023-12,2023,12,Comercial,Eventos,34189.42,0.0,False
2023-12,2023,12,Comercial,CRM,39925.57,0.0,False
2023-12,2023,12,Operações,Logística,75326.73,130.3,True
2023-12,2023,12,Operações,Manutenção,13630.92,0.0,False
2023-12,2023,12,Operações,EPI,47476.5,0.0,False
2023-12,2023,12,Operações,Combustível,35726.38,0.0,False
2023-12,2023,12,Administrativo,Pessoal,53919.08,0.0,False
2023-12,2023,12,Administrativo,Aluguel,28273.26,0.0,False
2023-12,2023,12,Administrativo,TI,25560.46,0.0,False
2023-12,2023,12,Administrativo,Jurídico,62538.7,0.0,False
2023-12,2023,12,Financeiro,IOF/Taxas,53389.89,0.0,False
2023-12,2023,12,Financeiro,Seguros,48513.42,0.0,False
2023-12,2023,12,Financeiro,Auditoria,25904.74,0.0,False
2023-12,2023,12,Financeiro,Câmbio,21190.03,0.0,False
2024-01,2024,1,Comercial,Comissões,32228.3,0.0,False
2024-01,2024,1,Comercial,Marketing,64125.0,0.0,False
2024-01,2024,1,Comercial,Eventos,41955.38,0.0,False
2024-01,2024,1,Comercial,CRM,76835.8,0.0,False
2024-01,2024,1,Operações,Logística,65546.02,0.0,False
2024-01,2024,1,Operações,Manutenção,63850.1,0.0,False
2024-01,2024,1,Operações,EPI,49716.54,0.0,False
2024-01,2024,1,Operações,Combustível,55406.56,0.0,False
2024-01,2024,1,Administrativo,Pessoal,46616.79,0.0,False
2024-01,2024,1,Administrativo,Aluguel,16716.3,0.0,False
2024-01,2024,1,Administrativo,TI,49578.55,136.91,True
2024-01,2024,1,Administrativo,Jurídico,18577.69,0.0,False
2024-01,2024,1,Financeiro,IOF/Taxas,46827.19,0.0,False
2024-01,2024,1,Financeiro,Seguros,17664.17,0.0,False
2024-01,2024,1,Financeiro,Auditoria,117555.22,204.73,True
2024-01,2024,1,Financeiro,Câmbio,27448.98,0.0,False
2024-02,2024,2,Comercial,Comissões,43055.27,0.0,False
2024-02,2024,2,Comercial,Marketing,16014.42,0.0,False
2024-02,2024,2,Comercial,Eventos,208120.36,176.23,True
2024-02,2024,2,Comercial,CRM,49626.69,0.0,False
2024-02,2024,2,Operações,Logística,45618.43,0.0,False
2024-02,2024,2,Operações,Manutenção,73858.94,0.0,False
2024-02,2024,2,Operações,EPI,38119.59,0.0,False
2024-02,2024,2,Operações,Combustível,48962.59,0.0,False
2024-02,2024,2,Administrativo,Pessoal,31626.62,0.0,False
2024-02,2024,2,Administrativo,Aluguel,215301.77,169.12,True
2024-02,2024,2,Administrativo,TI,64926.35,0.0,False
2024-02,2024,2,Administrativo,Jurídico,19164.07,0.0,False
2024-02,2024,2,Financeiro,IOF/Taxas,180788.44,128.25,True
2024-02,2024,2,Financeiro,Seguros,18055.43,0.0,False
2024-02,2024,2,Financeiro,Auditoria,58628.29,0.0,False
2024-02,2024,2,Financeiro,Câmbio,55118.71,0.0,False
2024-03,2024,3,Comercial,Comissões,266092.57,228.01,True
2024-03,2024,3,Comercial,Marketing,63827.46,0.0,False
2024-03,2024,3,Comercial,Eventos,75379.37,0.0,False
2024-03,2024,3,Comercial,CRM,36426.44,0.0,False
2024-03,2024,3,Operações,Logística,51461.21,0.0,False
2024-03,2024,3,Operações,Manutenção,91279.16,0.0,False
2024-03,2024,3,Operações,EPI,78400.08,0.0,False
2024-03,2024,3,Operações,Combustível,77352.73,0.0,False
2024-03,2024,3,Administrativo,Pessoal,33579.53,0.0,False
2024-03,2024,3,Administrativo,Aluguel,84214.66,104.48,True
2024-03,2024,3,Administrativo,TI,97465.1,124.82,True
2024-03,2024,3,Administrativo,Jurídico,71792.99,0.0,False
2024-03,2024,3,Financeiro,IOF/Taxas,72799.13,0.0,False
2024-03,2024,3,Financeiro,Seguros,84172.35,0.0,False
2024-03,2024,3,Financeiro,Auditoria,26795.7,0.0,False
2024-03,2024,3,Financeiro,Câmbio,69383.16,0.0,False
2024-04,2024,4,Comercial,Comissões,58780.37,0.0,False
2024-04,2024,4,Comercial,Marketing,65248.98,248.96,True
2024-04,2024,4,Comercial,Eventos,64940.33,0.0,False
2024-04,2024,4,Comercial,CRM,89841.31,0.0,False
2024-04,2024,4,Operações,Logística,61082.62,0.0,False
2024-04,2024,4,Operações,Manutenção,116066.92,189.19,True
2024-04,2024,4,Operações,EPI,41853.56,0.0,False
2024-04,2024,4,Operações,Combustível,245891.7,189.36,True
2024-04,2024,4,Administrativo,Pessoal,36798.34,0.0,False
2024-04,2024,4,Administrativo,Aluguel,38581.03,0.0,False
2024-04,2024,4,Administrativo,TI,62463.64,0.0,False
2024-04,2024,4,Administrativo,Jurídico,72345.55,0.0,False
2024-04,2024,4,Financeiro,IOF/Taxas,63530.59,0.0,False
2024-04,2024,4,Financeiro,Seguros,96699.63,0.0,False
2024-04,2024,4,Financeiro,Auditoria,189601.52,219.4,True
2024-04,2024,4,Financeiro,Câmbio,59810.72,0.0,False
2024-05,2024,5,Comercial,Comissões,26410.24,0.0,False
2024-05,2024,5,Comercial,Marketing,50876.88,0.0,False
2024-05,2024,5,Comercial,Eventos,30906.42,0.0,False
2024-05,2024,5,Comercial,CRM,33269.67,0.0,False
2024-05,2024,5,Operações,Logística,88599.02,0.0,False
2024-05,2024,5,Operações,Manutenção,36010.01,0.0,False
2024-05,2024,5,Operações,EPI,78396.6,0.0,False
2024-05,2024,5,Operações,Combustível,49579.74,0.0,False
2024-05,2024,5,Administrativo,Pessoal,79065.03,0.0,False
2024-05,2024,5,Administrativo,Aluguel,82418.22,0.0,False
2024-05,2024,5,Administrativo,TI,27267.42,0.0,False
2024-05,2024,5,Administrativo,Jurídico,89134.78,0.0,False
2024-05,2024,5,Financeiro,IOF/Taxas,26881.02,0.0,False
2024-05,2024,5,Financeiro,Seguros,274795.01,246.88,True
2024-05,2024,5,Financeiro,Auditoria,49424.62,0.0,False
2024-05,2024,5,Financeiro,Câmbio,90923.3,0.0,False
2024-06,2024,6,Comercial,Comissões,43795.0,0.0,False
2024-06,2024,6,Comercial,Marketing,64649.68,0.0,False
2024-06,2024,6,Comercial,Eventos,66305.06,0.0,False
2024-06,2024,6,Comercial,CRM,55622.39,0.0,False
2024-06,2024,6,Operações,Logística,48420.06,0.0,False
2024-06,2024,6,Operações,Manutenção,28820.5,0.0,False
2024-06,2024,6,Operações,EPI,72898.37,0.0,False
2024-06,2024,6,Operações,Combustível,94428.36,0.0,False
2024-06,2024,6,Administrativo,Pessoal,26257.31,0.0,False
2024-06,2024,6,Administrativo,Aluguel,88545.85,0.0,False
2024-06,2024,6,Administrativo,TI,34473.41,0.0,False
2024-06,2024,6,Administrativo,Jurídico,59952.66,0.0,False
2024-06,2024,6,Financeiro,IOF/Taxas,106278.83,172.22,True
2024-06,2024,6,Financeiro,Seguros,94781.49,0.0,False
2024-06,2024,6,Financeiro,Auditoria,57841.7,0.0,False
2024-06,2024,6,Financeiro,Câmbio,38483.22,0.0,False
2024-07,2024,7,Comercial,Comissões,74768.51,0.0,False
2024-07,2024,7,Comercial,Marketing,85045.2,0.0,False
2024-07,2024,7,Comercial,Eventos,91107.72,0.0,False
2024-07,2024,7,Comercial,CRM,22724.91,0.0,False
2024-07,2024,7,Operações,Logística,40196.74,0.0,False
2024-07,2024,7,Operações,Manutenção,24614.14,0.0,False
2024-07,2024,7,Operações,EPI,63650.01,0.0,False
2024-07,2024,7,Operações,Combustível,29746.05,0.0,False
2024-07,2024,7,Administrativo,Pessoal,29370.59,0.0,False
2024-07,2024,7,Administrativo,Aluguel,61207.1,0.0,False
2024-07,2024,7,Administrativo,TI,39563.36,0.0,False
2024-07,2024,7,Administrativo,Jurídico,47736.01,0.0,False
2024-07,2024,7,Financeiro,IOF/Taxas,75335.48,0.0,False
2024-07,2024,7,Financeiro,Seguros,88041.51,0.0,False
2024-07,2024,7,Financeiro,Auditoria,84630.66,0.0,False
2024-07,2024,7,Financeiro,Câmbio,37198.2,0.0,False
2024-08,2024,8,Comercial,Comissões,28267.0,0.0,False
2024-08,2024,8,Comercial,Marketing,46895.31,0.0,False
2024-08,2024,8,Comercial,Eventos,64835.89,0.0,False
2024-08,2024,8,Comercial,CRM,76158.23,0.0,False
2024-08,2024,8,Operações,Logística,52475.59,0.0,False
2024-08,2024,8,Operações,Manutenção,32766.48,0.0,False
2024-08,2024,8,Operações,EPI,80667.31,0.0,False
2024-08,2024,8,Operações,Combustível,69460.02,0.0,False
2024-08,2024,8,Administrativo,Pessoal,49702.89,0.0,False
2024-08,2024,8,Administrativo,Aluguel,52869.54,0.0,False
2024-08,2024,8,Administrativo,TI,24977.91,0.0,False
2024-08,2024,8,Administrativo,Jurídico,81510.01,0.0,False
2024-08,2024,8,Financeiro,IOF/Taxas,81575.86,0.0,False
2024-08,2024,8,Financeiro,Seguros,54099.3,0.0,False
2024-08,2024,8,Financeiro,Auditoria,72638.48,117.84,True
2024-08,2024,8,Financeiro,Câmbio,79070.86,0.0,False
2024-09,2024,9,Comercial,Comissões,52598.09,0.0,False
2024-09,2024,9,Comercial,Marketing,39576.89,0.0,False
2024-09,2024,9,Comercial,Eventos,26208.69,0.0,False
2024-09,2024,9,Comercial,CRM,65776.09,0.0,False
2024-09,2024,9,Operações,Logística,43859.74,0.0,False
2024-09,2024,9,Operações,Manutenção,72193.83,0.0,False
2024-09,2024,9,Operações,EPI,17610.64,0.0,False
2024-09,2024,9,Operações,Combustível,64280.66,0.0,False
2024-09,2024,9,Administrativo,Pessoal,61545.83,0.0,False
2024-09,2024,9,Administrativo,Aluguel,27758.34,0.0,False
2024-09,2024,9,Administrativo,TI,41930.51,0.0,False
2024-09,2024,9,Administrativo,Jurídico,14613.76,0.0,False
2024-09,2024,9,Financeiro,IOF/Taxas,86214.05,168.74,True
2024-09,2024,9,Financeiro,Seguros,22559.06,0.0,False
2024-09,2024,9,Financeiro,Auditoria,54112.5,0.0,False
2024-09,2024,9,Financeiro,Câmbio,72268.23,0.0,False
2024-10,2024,10,Comercial,Comissões,55654.73,0.0,False
2024-10,2024,10,Comercial,Marketing,51802.96,0.0,False
2024-10,2024,10,Comercial,Eventos,40917.59,0.0,False
2024-10,2024,10,Comercial,CRM,33352.9,0.0,False
2024-10,2024,10,Operações,Logística,52858.12,0.0,False
2024-10,2024,10,Operações,Manutenção,15762.29,0.0,False
2024-10,2024,10,Operações,EPI,65326.93,0.0,False
2024-10,2024,10,Operações,Combustível,71103.23,0.0,False
2024-10,2024,10,Administrativo,Pessoal,51805.54,0.0,False
2024-10,2024,10,Administrativo,Aluguel,68528.43,0.0,False
2024-10,2024,10,Administrativo,TI,56371.86,0.0,False
2024-10,2024,10,Administrativo,Jurídico,46095.73,0.0,False
2024-10,2024,10,Financeiro,IOF/Taxas,43020.03,0.0,False
2024-10,2024,10,Financeiro,Seguros,37807.1,0.0,False
2024-10,2024,10,Financeiro,Auditoria,33332.47,0.0,False
2024-10,2024,10,Financeiro,Câmbio,39013.84,0.0,False
2024-11,2024,11,Comercial,Comissões,18220.2,0.0,False
2024-11,2024,11,Comercial,Marketing,50073.44,0.0,False
2024-11,2024,11,Comercial,Eventos,14154.76,0.0,False
2024-11,2024,11,Comercial,CRM,24213.86,0.0,False
2024-11,2024,11,Operações,Logística,61661.9,0.0,False
2024-11,2024,11,Operações,Manutenção,50770.14,0.0,False
2024-11,2024,11,Operações,EPI,28583.57,0.0,False
2024-11,2024,11,Operações,Combustível,29056.36,0.0,False
2024-11,2024,11,Administrativo,Pessoal,64469.65,0.0,False
2024-11,2024,11,Administrativo,Aluguel,43664.38,0.0,False
2024-11,2024,11,Administrativo,TI,66876.21,0.0,False
2024-11,2024,11,Administrativo,Jurídico,27451.03,0.0,False
2024-11,2024,11,Financeiro,IOF/Taxas,31145.11,0.0,False
2024-11,2024,11,Financeiro,Seguros,35618.9,0.0,False
2024-11,2024,11,Financeiro,Auditoria,14350.31,0.0,False
2024-11,2024,11,Financeiro,Câmbio,62479.83,0.0,False
2024-12,2024,12,Comercial,Comissões,39240.24,0.0,False
2024-12,2024,12,Comercial,Marketing,63087.63,0.0,False
2024-12,2024,12,Comercial,Eventos,45091.3,0.0,False
2024-12,2024,12,Comercial,CRM,50189.13,0.0,False
2024-12,2024,12,Operações,Logística,27623.78,0.0,False
2024-12,2024,12,Operações,Manutenção,67152.34,0.0,False
2024-12,2024,12,Operações,EPI,70312.08,0.0,False
2024-12,2024,12,Operações,Combustível,57893.08,0.0,False
2024-12,2024,12,Administrativo,Pessoal,41372.6,0.0,False
2024-12,2024,12,Administrativo,Aluguel,27392.39,0.0,False
2024-12,2024,12,Administrativo,TI,30247.61,0.0,False
2024-12,2024,12,Administrativo,Jurídico,47499.82,0.0,False
2024-12,2024,12,Financeiro,IOF/Taxas,26149.56,0.0,False
2024-12,2024,12,Financeiro,Seguros,63470.64,0.0,False
2024-12,2024,12,Financeiro,Auditoria,13857.79,0.0,False
2024-12,2024,12,Financeiro,Câmbio,59803.22,0.0,False
