competencia,ano,mes,cod_cliente,cliente,setor,porte,faixa_aging,valor,inadimplente
2023-09,2023,9,CLI-0018,Cliente 0018,Agronegócio,Grande,A vencer,686146.11,0
2023-09,2023,9,CLI-0032,Cliente 0032,Construção,Grande,A vencer,517940.76,0
2023-09,2023,9,CLI-0022,Cliente 0022,Construção,Pequeno,A vencer,28124.99,0
2023-09,2023,9,CLI-0057,Cliente 0057,Construção,Médio,A vencer,256076.7,0
2023-09,2023,9,CLI-0027,Cliente 0027,Construção,Pequeno,1-30 dias,10244.87,0
2023-09,2023,9,CLI-0030,Cliente 0030,Agronegócio,Pequeno,31-60 dias,61099.26,0
2023-09,2023,9,CLI-0033,Cliente 0033,Construção,Pequeno,A vencer,66541.78,0
2023-09,2023,9,CLI-0042,Cliente 0042,Indústria,Médio,A vencer,195459.38,0
2023-09,2023,9,CLI-0003,Cliente 0003,Indústria,Grande,A vencer,773987.63,0
2023-10,2023,10,CLI-0011,Cliente 0011,Serviços,Médio,31-60 dias,377601.07,0
2023-10,2023,10,CLI-0017,Cliente 0017,Agronegócio,Grande,1-30 dias,1093737.82,0
2023-10,2023,10,CLI-0013,Cliente 0013,Agronegócio,Pequeno,1-30 dias,71733.46,0
2023-10,2023,10,CLI-0010,Cliente 0010,Indústria,Pequeno,31-60 dias,39569.85,1
2023-10,2023,10,CLI-0018,Cliente 0018,Agronegócio,Grande,A vencer,781760.51,0
2023-10,2023,10,CLI-0022,Cliente 0022,Construção,Pequeno,A vencer,35552.18,0
2023-10,2023,10,CLI-0042,Cliente 0042,Indústria,Médio,1-30 dias,256692.07,0
2023-10,2023,10,CLI-0050,Cliente 0050,Serviços,Pequeno,A vencer,21888.32,0
2023-10,2023,10,CLI-0020,Cliente 0020,Serviços,Médio,31-60 dias,351307.8,0
2023-10,2023,10,CLI-0038,Cliente 0038,Serviços,Pequeno,61-90 dias,71742.43,0
2023-11,2023,11,CLI-0055,Cliente 0055,Indústria,Pequeno,A vencer,76197.01,0
2023-11,2023,11,CLI-0015,Cliente 0015,Serviços,Médio,A vencer,346918.69,0
2023-11,2023,11,CLI-0046,Cliente 0046,Comércio,Pequeno,1-30 dias,19394.09,1
2023-11,2023,11,CLI-0021,Cliente 0021,Indústria,Pequeno,31-60 dias,24853.38,0
2023-11,2023,11,CLI-0036,Cliente 0036,Indústria,Pequeno,A vencer,55828.15,0
2023-11,2023,11,CLI-0040,Cliente 0040,Agronegócio,Pequeno,31-60 dias,22644.23,0
2023-11,2023,11,CLI-0026,Cliente 0026,Comércio,Médio,91-180 dias,164671.23,0
2023-11,2023,11,CLI-0034,Cliente 0034,Indústria,Médio,A vencer,160971.12,0
2023-11,2023,11,CLI-0060,Cliente 0060,Comércio,Grande,31-60 dias,1017479.47,0
2023-12,2023,12,CLI-0001,Cliente 0001,Comércio,Médio,A vencer,142558.66,0
2023-12,2023,12,CLI-0035,Cliente 0035,Comércio,Pequeno,A vencer,40956.28,0
2023-12,2023,12,CLI-0051,Cliente 0051,Agronegócio,Médio,61-90 dias,285520.77,0
2023-12,2023,12,CLI-0031,Cliente 0031,Comércio,Pequeno,>180 dias,35888.26,0
2023-12,2023,12,CLI-0042,Cliente 0042,Indústria,Médio,91-180 dias,158680.19,0
2023-12,2023,12,CLI-0011,Cliente 0011,Serviços,Médio,31-60 dias,111292.16,0
2023-12,2023,12,CLI-0020,Cliente 0020,Serviços,Médio,A vencer,139320.09,0
2023-12,2023,12,CLI-0041,Cliente 0041,Indústria,Grande,A vencer,631543.77,0
2023-12,2023,12,CLI-0060,Cliente 0060,Comércio,Grande,31-60 dias,1126083.91,0
2023-12,2023,12,CLI-0003,Cliente 0003,Indústria,Grande,A vencer,619307.51,0
2023-12,2023,12,CLI-0056,Cliente 0056,Construção,Grande,A vencer,508030.48,0
2023-12,2023,12,CLI-0054,Cliente 0054,Indústria,Pequeno,91-180 dias,35153.58,1
2023-12,2023,12,CLI-0013,Cliente 0013,Agronegócio,Pequeno,31-60 dias,34939.65,1
2024-01,2024,1,CLI-0013,Cliente 0013,Agronegócio,Pequeno,A vencer,70056.77,0
2024-01,2024,1,CLI-0036,Cliente 0036,Indústria,Pequeno,A vencer,51418.73,0
2024-01,2024,1,CLI-0009,Cliente 0009,Construção,Médio,31-60 dias,121053.84,0
2024-01,2024,1,CLI-0025,Cliente 0025,Agronegócio,Médio,91-180 dias,313079.99,0
2024-01,2024,1,CLI-0043,Cliente 0043,Serviços,Médio,61-90 dias,248786.44,0
2024-01,2024,1,CLI-0010,Cliente 0010,Indústria,Pequeno,31-60 dias,61201.46,0
2024-01,2024,1,CLI-0045,Cliente 0045,Serviços,Médio,A vencer,156268.33,0
2024-01,2024,1,CLI-0024,Cliente 0024,Serviços,Médio,A vencer,241688.62,0
2024-02,2024,2,CLI-0058,Cliente 0058,Indústria,Pequeno,61-90 dias,78813.89,0
2024-02,2024,2,CLI-0018,Cliente 0018,Agronegócio,Grande,1-30 dias,779146.19,0
2024-02,2024,2,CLI-0029,Cliente 0029,Comércio,Médio,A vencer,211959.97,0
2024-02,2024,2,CLI-0044,Cliente 0044,Serviços,Pequeno,61-90 dias,26303.85,0
2024-02,2024,2,CLI-0051,Cliente 0051,Agronegócio,Médio,A vencer,393593.13,0
2024-02,2024,2,CLI-0042,Cliente 0042,Indústria,Médio,61-90 dias,176422.51,0
2024-02,2024,2,CLI-0059,Cliente 0059,Construção,Grande,A vencer,885090.27,0
2024-02,2024,2,CLI-0043,Cliente 0043,Serviços,Médio,1-30 dias,345470.53,1
2024-02,2024,2,CLI-0045,Cliente 0045,Serviços,Médio,A vencer,307813.7,0
2024-02,2024,2,CLI-0052,Cliente 0052,Comércio,Pequeno,1-30 dias,42170.38,1
2024-02,2024,2,CLI-0021,Cliente 0021,Indústria,Pequeno,A vencer,69882.52,0
2024-02,2024,2,CLI-0015,Cliente 0015,Serviços,Médio,A vencer,206859.6,0
2024-03,2024,3,CLI-0057,Cliente 0057,Construção,Médio,A vencer,88698.28,0
2024-03,2024,3,CLI-0048,Cliente 0048,Agronegócio,Médio,91-180 dias,307205.4,0
2024-03,2024,3,CLI-0041,Cliente 0041,Indústria,Grande,1-30 dias,825290.33,0
2024-03,2024,3,CLI-0030,Cliente 0030,Agronegócio,Pequeno,A vencer,53032.94,0
2024-03,2024,3,CLI-0014,Cliente 0014,Construção,Pequeno,A vencer,71604.4,0
2024-03,2024,3,CLI-0015,Cliente 0015,Serviços,Médio,31-60 dias,191860.36,0
2024-03,2024,3,CLI-0020,Cliente 0020,Serviços,Médio,A vencer,391150.8,0
2024-03,2024,3,CLI-0045,Cliente 0045,Serviços,Médio,61-90 dias,375007.2,0
2024-03,2024,3,CLI-0003,Cliente 0003,Indústria,Grande,A vencer,569417.73,0
2024-03,2024,3,CLI-0060,Cliente 0060,Comércio,Grande,A vencer,496088.5,0
2024-03,2024,3,CLI-0051,Cliente 0051,Agronegócio,Médio,A vencer,396743.38,0
2024-04,2024,4,CLI-0048,Cliente 0048,Agronegócio,Médio,A vencer,308079.9,0
2024-04,2024,4,CLI-0002,Cliente 0002,Indústria,Pequeno,A vencer,30954.79,0
2024-04,2024,4,CLI-0006,Cliente 0006,Indústria,Médio,A vencer,134308.51,0
2024-04,2024,4,CLI-0043,Cliente 0043,Serviços,Médio,31-60 dias,163425.21,0
2024-04,2024,4,CLI-0008,Cliente 0008,Construção,Pequeno,A vencer,68155.26,0
2024-04,2024,4,CLI-0030,Cliente 0030,Agronegócio,Pequeno,A vencer,56453.74,0
2024-04,2024,4,CLI-0004,Cliente 0004,Comércio,Pequeno,61-90 dias,10830.85,0
2024-04,2024,4,CLI-0035,Cliente 0035,Comércio,Pequeno,A vencer,21246.68,0
2024-05,2024,5,CLI-0048,Cliente 0048,Agronegócio,Médio,1-30 dias,298428.2,1
2024-05,2024,5,CLI-0021,Cliente 0021,Indústria,Pequeno,A vencer,35677.63,0
2024-05,2024,5,CLI-0055,Cliente 0055,Indústria,Pequeno,A vencer,21677.59,0
2024-05,2024,5,CLI-0035,Cliente 0035,Comércio,Pequeno,A vencer,60717.97,0
2024-05,2024,5,CLI-0015,Cliente 0015,Serviços,Médio,A vencer,345519.97,0
2024-05,2024,5,CLI-0060,Cliente 0060,Comércio,Grande,A vencer,1008337.35,0
2024-05,2024,5,CLI-0034,Cliente 0034,Indústria,Médio,A vencer,239742.15,0
2024-05,2024,5,CLI-0017,Cliente 0017,Agronegócio,Grande,1-30 dias,1142376.49,0
2024-05,2024,5,CLI-0016,Cliente 0016,Serviços,Médio,A vencer,272639.03,0
2024-05,2024,5,CLI-0032,Cliente 0032,Construção,Grande,1-30 dias,457480.27,0
2024-05,2024,5,CLI-0006,Cliente 0006,Indústria,Médio,A vencer,374939.19,0
2024-06,2024,6,CLI-0056,Cliente 0056,Construção,Grande,1-30 dias,425719.27,0
2024-06,2024,6,CLI-0060,Cliente 0060,Comércio,Grande,A vencer,1152861.03,0
2024-06,2024,6,CLI-0057,Cliente 0057,Construção,Médio,A vencer,280524.55,0
2024-06,2024,6,CLI-0011,Cliente 0011,Serviços,Médio,A vencer,285299.62,0
2024-06,2024,6,CLI-0053,Cliente 0053,Agronegócio,Pequeno,A vencer,61973.23,0
2024-06,2024,6,CLI-0035,Cliente 0035,Comércio,Pequeno,A vencer,72934.39,0
2024-06,2024,6,CLI-0055,Cliente 0055,Indústria,Pequeno,A vencer,61706.99,0
2024-06,2024,6,CLI-0026,Cliente 0026,Comércio,Médio,31-60 dias,399625.16,0
2024-06,2024,6,CLI-0029,Cliente 0029,Comércio,Médio,A vencer,160138.59,0
2024-06,2024,6,CLI-0025,Cliente 0025,Agronegócio,Médio,A vencer,266382.32,0
2024-07,2024,7,CLI-0047,Cliente 0047,Comércio,Médio,31-60 dias,166121.76,0
2024-07,2024,7,CLI-0034,Cliente 0034,Indústria,Médio,A vencer,259448.76,0
2024-07,2024,7,CLI-0027,Cliente 0027,Construção,Pequeno,A vencer,52750.27,0
2024-07,2024,7,CLI-0060,Cliente 0060,Comércio,Grande,A vencer,999339.33,0
2024-07,2024,7,CLI-0054,Cliente 0054,Indústria,Pequeno,A vencer,29800.77,0
2024-07,2024,7,CLI-0018,Cliente 0018,Agronegócio,Grande,A vencer,550969.77,0
2024-07,2024,7,CLI-0001,Cliente 0001,Comércio,Médio,61-90 dias,222810.35,0
2024-07,2024,7,CLI-0019,Cliente 0019,Indústria,Pequeno,31-60 dias,46548.58,1
2024-07,2024,7,CLI-0013,Cliente 0013,Agronegócio,Pequeno,A vencer,18275.11,0
2024-07,2024,7,CLI-0006,Cliente 0006,Indústria,Médio,1-30 dias,168009.93,1
2024-07,2024,7,CLI-0049,Cliente 0049,Agronegócio,Pequeno,A vencer,48629.55,0
2024-07,2024,7,CLI-0023,Cliente 0023,Indústria,Pequeno,A vencer,68659.41,0
2024-07,2024,7,CLI-0048,Cliente 0048,Agronegócio,Médio,A vencer,274101.23,0
2024-07,2024,7,CLI-0039,Cliente 0039,Comércio,Médio,A vencer,221712.49,0
2024-08,2024,8,CLI-0055,Cliente 0055,Indústria,Pequeno,1-30 dias,76486.13,0
2024-08,2024,8,CLI-0036,Cliente 0036,Indústria,Pequeno,A vencer,40792.47,0
2024-08,2024,8,CLI-0004,Cliente 0004,Comércio,Pequeno,A vencer,21831.19,0
2024-08,2024,8,CLI-0042,Cliente 0042,Indústria,Médio,A vencer,192708.0,0
2024-08,2024,8,CLI-0049,Cliente 0049,Agronegócio,Pequeno,1-30 dias,6382.84,0
2024-08,2024,8,CLI-0032,Cliente 0032,Construção,Grande,1-30 dias,888323.29,0
2024-08,2024,8,CLI-0011,Cliente 0011,Serviços,Médio,31-60 dias,307745.86,1
2024-08,2024,8,CLI-0024,Cliente 0024,Serviços,Médio,A vencer,273089.91,0
2024-08,2024,8,CLI-0001,Cliente 0001,Comércio,Médio,A vencer,93616.58,0
2024-08,2024,8,CLI-0007,Cliente 0007,Construção,Grande,A vencer,763915.52,0
2024-08,2024,8,CLI-0034,Cliente 0034,Indústria,Médio,A vencer,136533.43,0
2024-09,2024,9,CLI-0054,Cliente 0054,Indústria,Pequeno,>180 dias,72942.67,0
2024-09,2024,9,CLI-0031,Cliente 0031,Comércio,Pequeno,1-30 dias,10861.71,0
2024-09,2024,9,CLI-0012,Cliente 0012,Construção,Pequeno,1-30 dias,51105.26,0
2024-09,2024,9,CLI-0043,Cliente 0043,Serviços,Médio,1-30 dias,129145.53,0
2024-09,2024,9,CLI-0002,Cliente 0002,Indústria,Pequeno,A vencer,59733.56,0
2024-09,2024,9,CLI-0035,Cliente 0035,Comércio,Pequeno,31-60 dias,40435.15,0
2024-09,2024,9,CLI-0024,Cliente 0024,Serviços,Médio,A vencer,390226.75,0
2024-09,2024,9,CLI-0032,Cliente 0032,Construção,Grande,1-30 dias,695190.84,0
2024-09,2024,9,CLI-0050,Cliente 0050,Serviços,Pequeno,A vencer,39794.17,0
2024-10,2024,10,CLI-0022,Cliente 0022,Construção,Pequeno,A vencer,11630.17,0
2024-10,2024,10,CLI-0006,Cliente 0006,Indústria,Médio,1-30 dias,188715.5,1
2024-10,2024,10,CLI-0052,Cliente 0052,Comércio,Pequeno,A vencer,61532.8,0
2024-10,2024,10,CLI-0060,Cliente 0060,Comércio,Grande,A vencer,668037.5,0
2024-10,2024,10,CLI-0058,Cliente 0058,Indústria,Pequeno,31-60 dias,44005.39,0
2024-10,2024,10,CLI-0027,Cliente 0027,Construção,Pequeno,A vencer,76473.14,0
2024-10,2024,10,CLI-0047,Cliente 0047,Comércio,Médio,1-30 dias,117087.64,0
2024-10,2024,10,CLI-0037,Cliente 0037,Indústria,Médio,A vencer,125324.47,0
2024-10,2024,10,CLI-0012,Cliente 0012,Construção,Pequeno,A vencer,56565.05,0
2024-10,2024,10,CLI-0051,Cliente 0051,Agronegócio,Médio,A vencer,171710.0,0
2024-10,2024,10,CLI-0048,Cliente 0048,Agronegócio,Médio,A vencer,221144.78,0
2024-10,2024,10,CLI-0038,Cliente 0038,Serviços,Pequeno,A vencer,44140.73,0
2024-11,2024,11,CLI-0022,Cliente 0022,Construção,Pequeno,31-60 dias,33337.82,0
2024-11,2024,11,CLI-0002,Cliente 0002,Indústria,Pequeno,1-30 dias,6637.35,0
2024-11,2024,11,CLI-0020,Cliente 0020,Serviços,Médio,A vencer,214809.64,0
2024-11,2024,11,CLI-0034,Cliente 0034,Indústria,Médio,A vencer,330502.58,0
2024-11,2024,11,CLI-0018,Cliente 0018,Agronegócio,Grande,91-180 dias,417815.06,0
2024-11,2024,11,CLI-0046,Cliente 0046,Comércio,Pequeno,31-60 dias,26360.57,0
2024-11,2024,11,CLI-0039,Cliente 0039,Comércio,Médio,1-30 dias,377332.04,0
2024-11,2024,11,CLI-0015,Cliente 0015,Serviços,Médio,A vencer,222380.08,0
2024-11,2024,11,CLI-0038,Cliente 0038,Serviços,Pequeno,A vencer,16005.74,0
2024-11,2024,11,CLI-0023,Cliente 0023,Indústria,Pequeno,A vencer,79073.56,0
2024-12,2024,12,CLI-0029,Cliente 0029,Comércio,Médio,91-180 dias,165059.01,0
2024-12,2024,12,CLI-0030,Cliente 0030,Agronegócio,Pequeno,A vencer,36774.13,0
2024-12,2024,12,CLI-0006,Cliente 0006,Indústria,Médio,91-180 dias,240772.16,0
2024-12,2024,12,CLI-0048,Cliente 0048,Agronegócio,Médio,A vencer,241454.48,0
2024-12,2024,12,CLI-0001,Cliente 0001,Comércio,Médio,61-90 dias,223440.75,0
2024-12,2024,12,CLI-0019,Cliente 0019,Indústria,Pequeno,61-90 dias,34241.71,0
2024-12,2024,12,CLI-0025,Cliente 0025,Agronegócio,Médio,>180 dias,139674.65,0
2024-12,2024,12,CLI-0059,Cliente 0059,Construção,Grande,A vencer,713470.17,0
2024-12,2024,12,CLI-0005,Cliente 0005,Construção,Pequeno,A vencer,56002.62,0
